instance,arm,status,cpu_s,wall_s
043c91001968a1fbd1ef419540fcb396.cnf.xz,mit,TIMEOUT,176.86,179.30
043c91001968a1fbd1ef419540fcb396.cnf.xz,cliques,UNSAT,0.83,0.86
0f1070ba60b55aa62d3a98798a14700e.cnf.xz,cliques,UNSAT,0.20,0.20
0f1070ba60b55aa62d3a98798a14700e.cnf.xz,mit,TIMEOUT,177.52,179.94
1a3bef9e03bab1ed4e9e34506d72a451.cnf.xz,mit,TIMEOUT,177.46,179.57
1a3bef9e03bab1ed4e9e34506d72a451.cnf.xz,cliques,UNSAT,0.37,0.40
65bf849f3e86ab275e339934f4d140a0.cnf.xz,cliques,UNSAT,1.57,1.62
65bf849f3e86ab275e339934f4d140a0.cnf.xz,mit,TIMEOUT,177.16,179.39
6ddda96839bb24cd7389d5556d3ab16d.cnf.xz,mit,TIMEOUT,177.61,179.77
6ddda96839bb24cd7389d5556d3ab16d.cnf.xz,cliques,UNSAT,0.89,0.90
9ba8145e0d02318dea5507fc3ba03472.cnf.xz,cliques,UNSAT,19.30,19.59
9ba8145e0d02318dea5507fc3ba03472.cnf.xz,mit,UNSAT,18.00,18.23
e5787bb4c8c29aa39b14a5e11387999d.cnf.xz,mit,TIMEOUT,177.18,179.40
e5787bb4c8c29aa39b14a5e11387999d.cnf.xz,cliques,UNSAT,0.46,0.50
f52a349677a5b5b5315b5954b3181fe3.cnf.xz,cliques,SAT,32.52,32.98
f52a349677a5b5b5315b5954b3181fe3.cnf.xz,mit,SAT,37.48,38.20
