hash,family,seed,result,time,conflicts,decisions,propagations,returncode,maquina
0091ac9434f528a4007d82d2443d2dc9,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
0091ac9434f528a4007d82d2443d2dc9,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
0091ac9434f528a4007d82d2443d2dc9,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
00d5a43a481477fa4d56a2ce152a6cfb,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
00d5a43a481477fa4d56a2ce152a6cfb,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
00d5a43a481477fa4d56a2ce152a6cfb,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
041bf8c064b4f6f8fabcd2a9793b8c7b,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
041bf8c064b4f6f8fabcd2a9793b8c7b,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
041bf8c064b4f6f8fabcd2a9793b8c7b,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
05ed64e4e6229f446082752936768489,argumentation,42,UNSAT,412.782,4676414.000,6066560.000,267288828.000,20,pc1
05ed64e4e6229f446082752936768489,argumentation,123,UNSAT,381.521,4417900.000,5754329.000,254060824.000,20,pc1
05ed64e4e6229f446082752936768489,argumentation,777,UNSAT,409.892,4683746.000,6084505.000,268965936.000,20,pc1
06e46ab0acac57a61638cbb741949a98,argumentation,42,SAT,0.110,0.000,0.000,1000.000,10,pc1
06e46ab0acac57a61638cbb741949a98,argumentation,123,SAT,0.093,0.000,0.000,1000.000,10,pc1
06e46ab0acac57a61638cbb741949a98,argumentation,777,SAT,0.090,0.000,0.000,1000.000,10,pc1
0ae2cbfc4650a25f7bb6230799ac5fbb,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
0ae2cbfc4650a25f7bb6230799ac5fbb,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
0ae2cbfc4650a25f7bb6230799ac5fbb,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
10253f0a4b37654146aaf73a9fbbd929,argumentation,42,SAT,0.158,0.000,0.000,1000.000,10,pc1
10253f0a4b37654146aaf73a9fbbd929,argumentation,123,SAT,0.146,0.000,0.000,1000.000,10,pc1
10253f0a4b37654146aaf73a9fbbd929,argumentation,777,SAT,0.102,0.000,0.000,1000.000,10,pc1
16564a6acba6b9fc887c447d4e507767,argumentation,42,SAT,381.713,3973037.000,6151403.000,233107788.000,10,pc1
16564a6acba6b9fc887c447d4e507767,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
16564a6acba6b9fc887c447d4e507767,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
2241a1fb5bdbac0c1a3c1980ed8b332d,argumentation,42,SAT,74.724,215571.000,341676.000,142796661.000,10,pc1
2241a1fb5bdbac0c1a3c1980ed8b332d,argumentation,123,SAT,84.424,232136.000,385756.000,161279692.000,10,pc1
2241a1fb5bdbac0c1a3c1980ed8b332d,argumentation,777,SAT,29.212,53370.000,96446.000,34960833.000,10,pc1
249c4efc2703de73327f590a7db38170,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
249c4efc2703de73327f590a7db38170,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
249c4efc2703de73327f590a7db38170,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
26371835e4957bcd50f95ccf79160196,argumentation,42,SAT,6.032,74678.000,101877.000,9286057.000,10,pc1
26371835e4957bcd50f95ccf79160196,argumentation,123,SAT,274.139,2037127.000,2586901.000,200544373.000,10,pc1
26371835e4957bcd50f95ccf79160196,argumentation,777,SAT,309.280,2297103.000,2912546.000,225400181.000,10,pc1
28d3cbfb7be58cf429e74647274e56ee,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
28d3cbfb7be58cf429e74647274e56ee,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
28d3cbfb7be58cf429e74647274e56ee,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
2a4680a801ad32ab8768030250daf0c8,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
2a4680a801ad32ab8768030250daf0c8,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
2a4680a801ad32ab8768030250daf0c8,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
2d49eaa7be6c7be51603c6cc35979da6,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
2d49eaa7be6c7be51603c6cc35979da6,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
2d49eaa7be6c7be51603c6cc35979da6,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
2eb039a5aa6bfb6e41d3afd41071ca55,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
2eb039a5aa6bfb6e41d3afd41071ca55,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
2eb039a5aa6bfb6e41d3afd41071ca55,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
2f252070b79029631dff4f93611b4cc9,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
2f252070b79029631dff4f93611b4cc9,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
2f252070b79029631dff4f93611b4cc9,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
31e0a1733fce00b0945cb2a87c02a49d,argumentation,42,SAT,568.626,3045131.000,4102602.000,237126143.000,10,pc1
31e0a1733fce00b0945cb2a87c02a49d,argumentation,123,SAT,407.562,2269433.000,3024639.000,185933091.000,10,pc1
31e0a1733fce00b0945cb2a87c02a49d,argumentation,777,SAT,597.179,3167351.000,4234223.000,245095853.000,10,pc1
3240a190f6dbb8efa026770a2e8fa602,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
3240a190f6dbb8efa026770a2e8fa602,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
3240a190f6dbb8efa026770a2e8fa602,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
343ec0a7ec1b919d9151b656ef030f07,argumentation,42,UNSAT,295.474,2234932.000,2808733.000,127180695.000,20,pc1
343ec0a7ec1b919d9151b656ef030f07,argumentation,123,UNSAT,350.103,2540316.000,3153467.000,143233651.000,20,pc1
343ec0a7ec1b919d9151b656ef030f07,argumentation,777,UNSAT,340.692,2498671.000,3099452.000,140732302.000,20,pc1
34f22180acdb9f648e1cf65a0d3a1760,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
34f22180acdb9f648e1cf65a0d3a1760,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
34f22180acdb9f648e1cf65a0d3a1760,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
384bdf1d5ee9dadc4b377e204e10c821,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
384bdf1d5ee9dadc4b377e204e10c821,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
384bdf1d5ee9dadc4b377e204e10c821,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
3c15c8fb5153b9d758a9eb16c66adc5d,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
3c15c8fb5153b9d758a9eb16c66adc5d,argumentation,123,SAT,602.433,4144501.000,5210295.000,324906537.000,10,pc1
3c15c8fb5153b9d758a9eb16c66adc5d,argumentation,777,SAT,183.518,1540189.000,1959839.000,128321021.000,10,pc1
3ff114cc7bee4f39fa56a0325e605c2d,argumentation,42,UNSAT,440.161,2920194.000,3584042.000,241185269.000,20,pc1
3ff114cc7bee4f39fa56a0325e605c2d,argumentation,123,UNSAT,469.406,3140309.000,3890739.000,257588113.000,20,pc1
3ff114cc7bee4f39fa56a0325e605c2d,argumentation,777,UNSAT,434.417,2787013.000,3427401.000,230894150.000,20,pc1
